relation,display_relation,x_id,x_type,x_name,x_source,y_id,y_type,y_name,y_source
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP2A2,gene,ATP2A2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP5A1,gene,ATP5A1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP5B,gene,ATP5B,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP5C1,gene,ATP5C1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP5D,gene,ATP5D,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP5E,gene,ATP5E,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP5F1,gene,ATP5F1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP5I,gene,ATP5I,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP5J2,gene,ATP5J2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP5J2-PTCD1,gene,ATP5J2-PTCD1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP5L,gene,ATP5L,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP5O,gene,ATP5O,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP6AP1,gene,ATP6AP1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP6V0C,gene,ATP6V0C,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP6V0D1,gene,ATP6V0D1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP6V1A,gene,ATP6V1A,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP6V1B2,gene,ATP6V1B2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP6V1C1,gene,ATP6V1C1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP6V1G1,gene,ATP6V1G1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP6V1H,gene,ATP6V1H,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATR,gene,ATR,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATRIP,gene,ATRIP,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATXN10,gene,ATXN10,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AURKA,gene,AURKA,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AURKB,gene,AURKB,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BARD1,gene,BARD1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BCAS2,gene,BCAS2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BCCIP,gene,BCCIP,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BCKDHA,gene,BCKDHA,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BCL2L1,gene,BCL2L1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BCS1L,gene,BCS1L,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BDP1,gene,BDP1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BET1,gene,BET1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BGLAP,gene,BGLAP,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BIRC5,gene,BIRC5,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BMS1,gene,BMS1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BNIP1,gene,BNIP1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BOP1,gene,BOP1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BORA,gene,BORA,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BPTF,gene,BPTF,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BRCA1,gene,BRCA1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BRCA2,gene,BRCA2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BRD8,gene,BRD8,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BRF1,gene,BRF1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BRIX1,gene,BRIX1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BTF3,gene,BTF3,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BUB1,gene,BUB1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BUB1B,gene,BUB1B,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BUB3,gene,BUB3,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BUD13,gene,BUD13,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BUD31,gene,BUD31,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,BYSL,gene,BYSL,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C10orf111,gene,C10orf111,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C11orf48,gene,C11orf48,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C11orf54,gene,C11orf54,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C11orf57,gene,C11orf57,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C12orf45,gene,C12orf45,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C12orf52,gene,C12orf52,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C12orf60,gene,C12orf60,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C14orf166,gene,C14orf166,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C14orf178,gene,C14orf178,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C15orf41,gene,C15orf41,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C16orf59,gene,C16orf59,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C16orf72,gene,C16orf72,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C16orf80,gene,C16orf80,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C19orf53,gene,C19orf53,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C19orf70,gene,C19orf70,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C1QBP,gene,C1QBP,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C1QC,gene,C1QC,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C1orf131,gene,C1orf131,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C22orf29,gene,C22orf29,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C22orf46,gene,C22orf46,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C2orf15,gene,C2orf15,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C3orf17,gene,C3orf17,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C6orf203,gene,C6orf203,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C7orf26,gene,C7orf26,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,C9orf114,gene,C9orf114,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CACTIN,gene,CACTIN,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CAD,gene,CAD,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CAGE1,gene,CAGE1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CAPZB,gene,CAPZB,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CARF,gene,CARF,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CARS,gene,CARS,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CARS2,gene,CARS2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CASC5,gene,CASC5,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CASP8AP2,gene,CASP8AP2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CBLB,gene,CBLB,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CBLL1,gene,CBLL1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCDC103,gene,CCDC103,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCDC157,gene,CCDC157,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCDC174,gene,CCDC174,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCDC22,gene,CCDC22,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCDC84,gene,CCDC84,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCDC86,gene,CCDC86,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCDC94,gene,CCDC94,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCNA2,gene,CCNA2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCNB1,gene,CCNB1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCNH,gene,CCNH,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCNL1,gene,CCNL1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCP110,gene,CCP110,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCS,gene,CCS,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCT2,gene,CCT2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCT3,gene,CCT3,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCT4,gene,CCT4,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCT5,gene,CCT5,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCT6A,gene,CCT6A,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCT7,gene,CCT7,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CCT8,gene,CCT8,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CD3EAP,gene,CD3EAP,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CD44,gene,CD44,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDAN1,gene,CDAN1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDC16,gene,CDC16,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDC20,gene,CDC20,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDC23,gene,CDC23,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDC25B,gene,CDC25B,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDC27,gene,CDC27,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDC40,gene,CDC40,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDC42,gene,CDC42,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDC5L,gene,CDC5L,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDC6,gene,CDC6,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDC7,gene,CDC7,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDCA3,gene,CDCA3,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDCA8,gene,CDCA8,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDK1,gene,CDK1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDK12,gene,CDK12,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDK4,gene,CDK4,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDK7,gene,CDK7,NCBI
A549_CRISPRi,resistance_hit,gamma,Drug,gamma,AstraZeneca,CDKN1A,gene,CDKN1A,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CDT1,gene,CDT1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CEBPB,gene,CEBPB,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CEBPG,gene,CEBPG,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CEBPZ,gene,CEBPZ,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CENPA,gene,CENPA,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CENPC,gene,CENPC,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CENPE,gene,CENPE,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CENPF,gene,CENPF,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CENPH,gene,CENPH,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CENPI,gene,CENPI,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CENPJ,gene,CENPJ,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CENPK,gene,CENPK,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CENPM,gene,CENPM,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CENPP,gene,CENPP,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CENPT,gene,CENPT,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CENPW,gene,CENPW,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CEP152,gene,CEP152,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CEP192,gene,CEP192,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CEP55,gene,CEP55,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CEP85,gene,CEP85,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CFDP1,gene,CFDP1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CFLAR,gene,CFLAR,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CHAF1A,gene,CHAF1A,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CHAF1B,gene,CHAF1B,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CHCHD4,gene,CHCHD4,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CHD4,gene,CHD4,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CHEK1,gene,CHEK1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CHERP,gene,CHERP,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CHMP2A,gene,CHMP2A,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CHMP3,gene,CHMP3,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CHMP6,gene,CHMP6,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CHTF18,gene,CHTF18,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CINP,gene,CINP,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CIRH1A,gene,CIRH1A,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CIT,gene,CIT,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CKAP5,gene,CKAP5,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CLCC1,gene,CLCC1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CLHC1,gene,CLHC1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,CLNS1A,gene,CLNS1A,NCBI
